Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2018,AR,1.5981,0.412,9.34,1.8596,57540,0.1724,1504,229,213,7500,21.5,0
2019,AR,2.8199,0.961,9.71,1.6982,62120,0.1562,18661,211,239,7500,24.8,0
2020,AR,3.908,1.1611,10.76,1.1733,57240,0.14,3897,190,259,7500,24.8,0
2021,AR,6.9078,1.4958,11.47,2.0323,54760,0.1286,11281,169,234,7500,24.8,0
2022,AR,10.8948,1.963,12.58,2.594,53980,0.1171,17197,153,257,7500,24.6,0
2014,CA,15.523,1.811,13.32,2.7563,73170,0.7583,2958,356,84,11625,39.5,1
2015,CA,24.1171,2.6546,14.98,2.1311,77030,0.7729,1539,325,90,11625,30,1
2016,CA,33.8856,3.5959,13.94,1.7256,79960,0.7875,6108,298,218,11625,30,1
2017,CA,46.3648,4.2019,15.37,1.9794,82580,0.8063,3021,261,194,11625,41.7,1
2018,CA,69.3474,5.3518,15.73,2.3492,81480,0.825,1504,229,213,11625,41.7,1
2019,CA,94.7061,6.8657,14.97,2.4212,88960,0.8333,18661,211,239,11625,47.3,1
2020,CA,118.3299,8.7644,20.79,1.7958,87530,0.8417,3897,190,259,11625,50.5,1
2021,CA,161.9676,10.5313,22,2.7582,87960,0.85,11281,169,234,11625,51.1,1
2022,CA,231.1193,11.1166,25.49,3.505,85300,0.8583,17197,153,257,11625,53.9,1
2014,CT,2.2451,0.9987,20.19,2.6965,84870,0.7198,2958,356,84,11625,25,0
2015,CT,3.6743,1.3799,20.05,1.7108,88230,0.6971,1539,325,90,11625,25,0
2016,CT,5.3184,2.0206,19.95,1.4628,91100,0.6744,6108,298,218,11625,25,0
2017,CT,8.0738,2.2052,21.3,1.689,87620,0.7119,3021,261,194,11625,25,0
2018,CT,13.2409,2.3435,21.87,1.9683,84160,0.7494,1504,229,213,11625,25,0
2019,CT,19.9479,2.9395,21.67,1.816,99420,0.7595,18661,211,239,11625,25,0
2020,CT,26.5347,3.466,22.68,1.3196,89540,0.7697,3897,190,259,11625,25,0
2021,CT,40.0839,3.9682,22.85,2.1414,87300,0.7708,11281,169,234,11625,25,0
2022,CT,59.0212,4.539,25.04,2.728,90730,0.7719,17197,153,257,11625,25,0
2014,DE,1.0295,0.2788,14.72,2.6533,69580,0.7271,2958,356,84,9250,23,0
2015,DE,1.5724,0.5843,14.4,1.6684,69910,0.7191,1539,325,90,9250,23,0
2016,DE,2.3079,0.7061,15.5,1.4142,69650,0.7112,6108,298,218,9250,23,0
2017,DE,3.6893,1.066,14.3,1.6382,76600,0.7232,3021,261,194,9250,23,0
